[0] RETURN TYPE : int | ID : func | SCOPE : FUNCTIONS | PARAMS : {N/A}

[1] RETURN TYPE : int | ID : funct | SCOPE : FUNCTIONS | PARAMS : (int param ,)

[2] RETURN TYPE : int | ID : f | SCOPE : FUNCTIONS | PARAMS : {N/A}

[3] RETURN TYPE : int | ID : func1 | SCOPE : FUNCTIONS | PARAMS : (int param1 ,int param2 ,char param3 ,const int param4 ,)

[4] RETURN TYPE : int | ID : func2 | SCOPE : FUNCTIONS | PARAMS : (int p1 ,int p2 ,Student student ,int a[] ,int ba[100] ,)

[5] RETURN TYPE : int | ID : func | SCOPE : TYPES type0 | PARAMS : {N/A}

[6] RETURN TYPE : int | ID : funct | SCOPE : TYPES type0 | PARAMS : (int param ,)

[7] RETURN TYPE : int | ID : met1 | SCOPE : TYPES type0 | PARAMS : (int param1 ,int param2 ,)

[8] RETURN TYPE : bool | ID : met2 | SCOPE : TYPES type0 | PARAMS : (int param3 ,int param4 ,)

[9] RETURN TYPE : int | ID : met1 | SCOPE : TYPES type1 | PARAMS : (int param1 ,int param2 ,)

[10] RETURN TYPE : bool | ID : met2 | SCOPE : TYPES type1 | PARAMS : (int param3 ,int param4 ,)

